created_at;details;escalation_type;id;portfolio_id;resolved_at;resolved_by;status
2026-03-18 07:00:09.145955+00;"{""amount"":3583181,""created_at"":""2026-03-01T00:00:00+00:00"",""hours_pending"":415,""portfolio_code"":""WIP2603011698""}";stale_approval;611e9613-3c07-4cae-82d5-a18a993a95a4;9b4660c6-87da-410b-947b-ec29ffc6dd92;;;open
2026-03-18 07:00:08.888483+00;"{""amount"":5320000,""created_at"":""2026-02-28T00:00:00+00:00"",""hours_pending"":439,""portfolio_code"":""WIP2602286220""}";stale_approval;3ab26ac7-051a-4a0b-85fd-b1ce7d1e27f1;0b2213a8-aa59-4843-97bd-ca5d9e2f6556;;;open
2026-03-18 07:00:08.608752+00;"{""amount"":1900000,""created_at"":""2026-03-09T00:00:00+00:00"",""hours_pending"":223,""portfolio_code"":""WIP2603094246""}";stale_approval;c2150e09-1be4-4f82-89c3-2ed91610b0b8;cfc35b9c-5a7d-496c-b243-f03d6c2572d5;;;open
2026-03-18 07:00:08.328458+00;"{""amount"":2000000,""created_at"":""2026-03-06T00:00:00+00:00"",""hours_pending"":295,""portfolio_code"":""WIP2603068150""}";stale_approval;1f2b0ba6-3de8-48f4-8bf0-1e8334c3b5bc;04146bd2-1117-4668-81d1-a70641eb9399;;;open
2026-03-18 07:00:08.058308+00;"{""amount"":7000000,""created_at"":""2026-03-13T00:00:00+00:00"",""hours_pending"":127,""portfolio_code"":""WIP2603134508""}";stale_approval;cb868ab9-3ba7-4ced-9ba4-23b3237e3d3d;86da2438-728f-4298-b223-ffbbf6b06332;;;open
2026-03-18 07:00:07.81527+00;"{""amount"":2500000,""created_at"":""2026-03-10T00:00:00+00:00"",""hours_pending"":199,""portfolio_code"":""WIP2603103160""}";stale_approval;a0c19d88-7947-4656-861a-a4002d4dba78;88ff3932-a523-48fe-91b6-5ef0d1a2528b;;;open
2026-03-18 07:00:07.564144+00;"{""amount"":3000000,""created_at"":""2026-03-16T00:00:00+00:00"",""hours_pending"":55,""portfolio_code"":""WIP2603161838""}";stale_approval;08cb5a3c-5ae6-45ea-8f19-bc9153d6debc;c13bc4db-a74c-4e8d-aad7-5c26c1c55930;;;open
2026-03-18 07:00:07.291599+00;"{""amount"":2000000,""created_at"":""2026-03-16T00:00:00+00:00"",""hours_pending"":55,""portfolio_code"":""WIP2603166369""}";stale_approval;a4085ad0-d56a-4322-a6ff-76856f0f1680;cadbbc70-a3e3-4a3f-8694-66fab24814e4;;;open
2026-03-18 07:00:07.011508+00;"{""amount"":1200000,""created_at"":""2026-03-12T00:00:00+00:00"",""hours_pending"":151,""portfolio_code"":""WIP2603129173""}";stale_approval;86620c7b-476d-4bb2-b2f0-f127f801f91a;95645814-86a4-48fb-8fc6-ce52e85afbf8;;;open
2026-03-18 07:00:06.736784+00;"{""amount"":1500000,""created_at"":""2026-03-11T00:00:00+00:00"",""hours_pending"":175,""portfolio_code"":""WIP2603119760""}";stale_approval;16b11987-3ed7-4ab8-a8a8-a03285921f01;5469e6ee-d5ae-4290-b2b6-da1ce32e14f1;;;open
