advance_id;amount_deducted;closing_balance;created_at;date;deduction_status;id;interest_accrued;opening_balance
73282597-6485-4e38-b140-fadbd31cfc9d;0;757163;2026-03-04 05:00:05.684365+00;2026-03-04;none;2887dd1e-f922-401b-ad5d-bc69221111cc;7163;750000
73282597-6485-4e38-b140-fadbd31cfc9d;0;764395;2026-03-05 05:00:03.876858+00;2026-03-05;none;3676fd23-3983-47fc-b838-42ae5048ef41;7232;757163
73282597-6485-4e38-b140-fadbd31cfc9d;0;771696;2026-03-06 05:00:04.611546+00;2026-03-06;none;f9e3c2da-7c7b-4df2-8aca-38a440e1724a;7301;764395
73282597-6485-4e38-b140-fadbd31cfc9d;0;779067;2026-03-07 05:00:05.978477+00;2026-03-07;none;6933d233-610d-40d7-88bd-7f66d49cdd56;7371;771696
73282597-6485-4e38-b140-fadbd31cfc9d;0;786508;2026-03-08 05:00:01.838047+00;2026-03-08;none;c4a61efd-0bb2-44f8-ba5c-7440a6c7c39b;7441;779067
73282597-6485-4e38-b140-fadbd31cfc9d;0;794020;2026-03-09 05:00:06.842817+00;2026-03-09;none;94de8977-c0a2-49c5-8e97-a17e1a40a6fc;7512;786508
73282597-6485-4e38-b140-fadbd31cfc9d;0;801604;2026-03-10 05:00:07.823936+00;2026-03-10;none;7d78fd94-02d9-462f-98ab-9b29f4105b67;7584;794020
73282597-6485-4e38-b140-fadbd31cfc9d;0;809260;2026-03-11 05:00:02.341755+00;2026-03-11;none;3277bf5c-430d-489e-9075-7cd1490091c2;7656;801604
73282597-6485-4e38-b140-fadbd31cfc9d;0;816989;2026-03-12 05:00:01.717857+00;2026-03-12;none;a886eaa7-9f15-46ec-b002-4c648f5aac73;7729;809260
73282597-6485-4e38-b140-fadbd31cfc9d;0;824792;2026-03-13 05:00:01.745646+00;2026-03-13;none;8042c551-5a1c-4f43-8e68-828d2f9a0b48;7803;816989
