created_at;details;escalation_type;id;portfolio_id;resolved_at;resolved_by;status
2026-03-22 07:00:09.87981+00;"{""amount"":2000000,""created_at"":""2026-02-04T00:00:00+00:00"",""hours_pending"":1111,""portfolio_code"":""WIP2602047996""}";stale_approval;123005b9-1905-43da-82bc-f3c0021b5f21;52c3c83f-b7c9-454a-8de8-cb543cebad8b;;;open
2026-03-22 07:00:09.68396+00;"{""amount"":50000,""created_at"":""2025-04-07T00:00:00+00:00"",""hours_pending"":8383,""portfolio_code"":""WIP2504079899""}";stale_approval;e5f02258-a717-42b6-9c00-adf3180d1d92;0de1785d-35b7-42d6-b0d7-ee3bb64da8c6;;;open
2026-03-22 07:00:09.503859+00;"{""amount"":14570383,""created_at"":""2026-03-05T00:00:00+00:00"",""hours_pending"":415,""portfolio_code"":""WIP2603053503""}";stale_approval;1a77f794-69fc-4279-85e3-24af5298a5c1;58edc3a6-5ba7-4e3b-ad4f-acaaca6e1ebc;;;open
2026-03-22 07:00:09.32029+00;"{""amount"":31000000,""created_at"":""2026-03-19T00:00:00+00:00"",""hours_pending"":79,""portfolio_code"":""WIP2603195580""}";stale_approval;8ea7fc13-5e25-4776-bb2f-a47327a833d2;155ab5a2-6607-4481-9fd2-6be1129a1f37;;;open
2026-03-22 07:00:09.144289+00;"{""amount"":12000000,""created_at"":""2026-03-02T00:00:00+00:00"",""hours_pending"":487,""portfolio_code"":""WIP2603023142""}";stale_approval;57591a41-4424-4351-874f-550b78b4bff4;6513c7d7-20c7-43c1-9f5b-2cb5babe4402;;;open
2026-03-22 07:00:08.9682+00;"{""amount"":12683800,""created_at"":""2026-03-09T00:00:00+00:00"",""hours_pending"":319,""portfolio_code"":""WIP2603099499""}";stale_approval;697bb53f-9a56-4dbc-b487-9b19b5895622;ff2d55f4-a145-4b65-aa19-983fe470c91a;;;open
2026-03-22 07:00:08.769347+00;"{""amount"":1100000,""created_at"":""2026-03-14T00:00:00+00:00"",""hours_pending"":199,""portfolio_code"":""WIP2603141568""}";stale_approval;9b9269ea-c4af-4384-89b5-85a6e6acd531;d3fc1fa5-fe5f-4927-82b5-d63e0f3b50a4;;;open
2026-03-22 07:00:08.585606+00;"{""amount"":3500000,""created_at"":""2026-02-28T00:00:00+00:00"",""hours_pending"":535,""portfolio_code"":""WIP2602287389""}";stale_approval;86c9e4ae-2440-444b-b9e7-aeb3a48d947d;8fbfd586-8874-447f-a4d4-1c77da726df9;;;open
2026-03-22 07:00:08.41082+00;"{""amount"":3000000,""created_at"":""2026-03-02T00:00:00+00:00"",""hours_pending"":487,""portfolio_code"":""WIP2603024141""}";stale_approval;0e347e8e-0fa9-4ff0-b741-569b87e21940;66b29db9-45a5-42fb-87c8-77c04c24f2d5;;;open
2026-03-22 07:00:08.224996+00;"{""amount"":2000000,""created_at"":""2026-03-13T00:00:00+00:00"",""hours_pending"":223,""portfolio_code"":""WIP2603133379""}";stale_approval;2a909ad9-8226-4e94-9a9e-34db683c7e58;55acc24e-6b04-4b16-851c-854a61ec3604;;;open
