schemaname,tablename,indexname,indexdef
public,agent_rebalance_records,agent_rebalance_records_pkey,CREATE UNIQUE INDEX agent_rebalance_records_pkey ON public.agent_rebalance_records USING btree (id)
public,agent_rebalance_records,idx_rebalance_agent,"CREATE INDEX idx_rebalance_agent ON public.agent_rebalance_records USING btree (agent_id, created_at DESC)"
public,agent_receipts,agent_receipts_pkey,CREATE UNIQUE INDEX agent_receipts_pkey ON public.agent_receipts USING btree (id)
public,agent_subagents,agent_subagents_pkey,CREATE UNIQUE INDEX agent_subagents_pkey ON public.agent_subagents USING btree (id)
public,agent_subagents,idx_agent_subagents_parent,CREATE INDEX idx_agent_subagents_parent ON public.agent_subagents USING btree (parent_agent_id)
public,agent_subagents,unique_subagent,CREATE UNIQUE INDEX unique_subagent ON public.agent_subagents USING btree (sub_agent_id)
public,agent_tasks,agent_tasks_pkey,CREATE UNIQUE INDEX agent_tasks_pkey ON public.agent_tasks USING btree (id)
public,agent_visits,agent_visits_pkey,CREATE UNIQUE INDEX agent_visits_pkey ON public.agent_visits USING btree (id)
public,ai_chat_messages,ai_chat_messages_pkey,CREATE UNIQUE INDEX ai_chat_messages_pkey ON public.ai_chat_messages USING btree (id)
public,ai_chat_messages,idx_ai_chat_messages_user_id,"CREATE INDEX idx_ai_chat_messages_user_id ON public.ai_chat_messages USING btree (user_id, created_at DESC)"
public,angel_pool_config,angel_pool_config_pkey,CREATE UNIQUE INDEX angel_pool_config_pkey ON public.angel_pool_config USING btree (id)
public,angel_pool_investments,angel_pool_investments_pkey,CREATE UNIQUE INDEX angel_pool_investments_pkey ON public.angel_pool_investments USING btree (id)
public,audit_logs,audit_logs_pkey,CREATE UNIQUE INDEX audit_logs_pkey ON public.audit_logs USING btree (id)
public,audit_logs,idx_audit_logs_action,CREATE INDEX idx_audit_logs_action ON public.audit_logs USING btree (action_type)
public,audit_logs,idx_audit_logs_created,CREATE INDEX idx_audit_logs_created ON public.audit_logs USING btree (created_at DESC)
public,audit_logs,idx_audit_logs_user,CREATE INDEX idx_audit_logs_user ON public.audit_logs USING btree (user_id)
public,cart_items,cart_items_pkey,CREATE UNIQUE INDEX cart_items_pkey ON public.cart_items USING btree (id)
public,cart_items,cart_items_user_id_product_id_key,"CREATE UNIQUE INDEX cart_items_user_id_product_id_key ON public.cart_items USING btree (user_id, product_id)"
public,cashout_agents,cashout_agents_agent_id_key,CREATE UNIQUE INDEX cashout_agents_agent_id_key ON public.cashout_agents USING btree (agent_id)
public,cashout_agents,cashout_agents_pkey,CREATE UNIQUE INDEX cashout_agents_pkey ON public.cashout_agents USING btree (id)
public,cfo_threshold_alerts,cfo_threshold_alerts_pkey,CREATE UNIQUE INDEX cfo_threshold_alerts_pkey ON public.cfo_threshold_alerts USING btree (id)
