id,parent_agent_id,sub_agent_id,created_at,source,status,verified_by,verified_at,rejection_reason
5fac8a31-ee07-430e-ae64-57cd3e491af4,99890a2e-b842-4d44-8516-e2eafe0711ff,a9f419fa-50e0-401c-866b-001cea78ced1,2026-01-23 09:35:28.526214+00,invite,verified,,,
d8f348ab-1cb9-4e04-a6cb-de9e507a3c0c,24fc16bf-d703-43ed-8848-93cc86c7364f,cb56223b-3a06-40e7-9721-370d6d5c293c,2026-01-23 11:17:53.255741+00,invite,verified,,,
1f01810a-98dd-485a-a963-3ce9ebb412f0,1bb8f684-e894-4445-afa5-e0eb984afbe7,9869ef53-addd-46de-9b8c-1d0d43f618bc,2026-01-23 13:26:40.37768+00,invite,verified,,,
9cd30bfa-1f5b-440e-9cd8-3effd7506f97,9869ef53-addd-46de-9b8c-1d0d43f618bc,08e3ecb5-6a23-46e6-a15c-d89946990d8f,2026-01-23 13:42:09.457331+00,invite,verified,,,
4e915b22-98d6-4044-aa50-06f6a56b7eab,9869ef53-addd-46de-9b8c-1d0d43f618bc,d7f28127-9df1-4097-9503-8b4048e627ba,2026-01-23 13:49:32.553317+00,invite,verified,,,
0fff44d1-e114-4940-9ffc-a872a168d98c,1bb8f684-e894-4445-afa5-e0eb984afbe7,675d70c6-2f67-492a-ac29-0b11d57b52ca,2026-01-23 18:02:23.656736+00,invite,verified,,,
f09f8e7d-82df-4507-a311-8c657038ef7b,675d70c6-2f67-492a-ac29-0b11d57b52ca,63ca82b2-6e37-46d0-ab0a-abde2aa84721,2026-01-23 18:16:54.586492+00,invite,verified,,,
341f69ca-f4f9-4bcc-9235-267c6461a953,675d70c6-2f67-492a-ac29-0b11d57b52ca,3d3eb9c4-abe0-41a0-8f89-9e362f90e4b4,2026-01-23 18:24:58.894319+00,invite,verified,,,
c877a754-40d7-4c43-96ef-3dc88d53de9f,63ca82b2-6e37-46d0-ab0a-abde2aa84721,fde51ce4-e561-4c15-aaab-34eec47ea365,2026-01-23 18:30:55.533245+00,invite,verified,,,
8f51bc7a-b5d4-463f-8be5-352bd1e69c69,63ca82b2-6e37-46d0-ab0a-abde2aa84721,890717cb-18e5-4036-b33b-822cd5d20e7d,2026-01-23 18:53:15.64858+00,invite,verified,,,
72891d25-bc5a-4fd4-8862-e6eac036a9d4,1bb8f684-e894-4445-afa5-e0eb984afbe7,82f21cbb-30ff-49c0-9ac4-03e49a63b585,2026-01-23 19:08:04.257821+00,invite,verified,,,
1371ece3-fa82-406f-aea0-1b73cb28ebaa,99890a2e-b842-4d44-8516-e2eafe0711ff,354050b6-6762-449a-9327-a640e7b38c4b,2026-01-24 07:04:37.840604+00,invite,verified,,,
8e8150ae-e27c-4123-ae49-e7bd3c76d1fe,675d70c6-2f67-492a-ac29-0b11d57b52ca,c879db7c-cfe9-4af7-8511-11e45314297c,2026-01-24 08:08:52.270099+00,invite,verified,,,
08cd9171-5e66-462b-b7c6-90401f927a83,675d70c6-2f67-492a-ac29-0b11d57b52ca,cbf955e3-a4ee-46d9-92b4-cb82adc4f4f1,2026-01-24 08:45:38.463022+00,invite,verified,,,
448c54f5-a0d8-4211-829e-5923b87c07b7,c879db7c-cfe9-4af7-8511-11e45314297c,2619a3bc-1faa-4c94-9060-807ff59c7c44,2026-01-24 08:49:44.112132+00,invite,verified,,,
48771fb6-7c90-4d02-8127-a18678504915,82f21cbb-30ff-49c0-9ac4-03e49a63b585,c5e35aad-a9f6-4c84-a456-627c1e02b76b,2026-01-24 10:13:15.26993+00,invite,verified,,,
c8122d3f-f46e-4d3e-9dc2-940aa56fbd80,354050b6-6762-449a-9327-a640e7b38c4b,b06de749-e88d-4b31-a0d7-776c61d1ea0e,2026-01-24 10:27:28.232516+00,invite,verified,,,
3f75d742-93cc-4ab2-aece-4a3987e3fa0e,63ca82b2-6e37-46d0-ab0a-abde2aa84721,652cb957-7478-49cd-a9c7-0deef4b6b0af,2026-01-24 11:13:18.80252+00,invite,verified,,,
50bc5e47-9f62-4837-94ad-616169986f3c,82f21cbb-30ff-49c0-9ac4-03e49a63b585,c7983045-0cd7-4664-955b-b4eb2c794d04,2026-01-24 12:26:23.442221+00,invite,verified,,,
3186c1dc-3d4a-488e-8f07-82e4cbafcf57,652cb957-7478-49cd-a9c7-0deef4b6b0af,fec85427-2646-4b1a-ae3c-d4d22ebc1c68,2026-01-24 19:09:40.511631+00,invite,verified,,,
07d715cd-f156-4227-b433-730edac3ee35,fec85427-2646-4b1a-ae3c-d4d22ebc1c68,155d6e10-e0b4-44f3-92ed-019742c0ac08,2026-01-24 19:19:47.326271+00,invite,verified,,,
2104fb92-a9ea-46d4-8aad-bae52815346e,2619a3bc-1faa-4c94-9060-807ff59c7c44,f1d00886-594a-4649-b063-4a493763ef2c,2026-01-24 19:21:41.936621+00,invite,verified,,,
35678364-0935-4d0f-bea1-284ac37df81c,155d6e10-e0b4-44f3-92ed-019742c0ac08,b4ecfc62-8c5e-45de-b6b3-b45aae8b797c,2026-01-24 19:37:29.982615+00,invite,verified,,,
fef0a0dc-0878-4c1a-bacb-f9422b8aa796,82f21cbb-30ff-49c0-9ac4-03e49a63b585,dd6ebec2-033b-427b-996e-e2a06bec75d2,2026-01-24 21:47:04.094678+00,invite,verified,,,
4dedfe60-4485-4985-b5aa-0fc871578e1b,82f21cbb-30ff-49c0-9ac4-03e49a63b585,d4318682-4338-4f23-960d-2621ab3e7dad,2026-01-25 09:35:51.933758+00,invite,verified,,,
375da2ca-9bcd-4d09-b760-7adb194a4e0b,2619a3bc-1faa-4c94-9060-807ff59c7c44,3691932a-587c-4694-bf7f-5a5373a2135a,2026-01-25 17:38:35.231091+00,invite,verified,,,
1071458f-3063-4181-b3aa-39414c459a10,675d70c6-2f67-492a-ac29-0b11d57b52ca,b90eea6d-7950-48fb-8aba-85e6f6dc3d1a,2026-01-25 23:34:27.240176+00,invite,verified,,,
574c0801-5e34-4260-a00f-7dd1665b375b,04a3d127-5b7d-4301-a7af-e976adba4662,4b83ca7d-f1a0-4d72-8d7a-6dd93a6ca529,2026-01-26 08:32:58.497896+00,invite,verified,,,
fe0561e8-f6e2-4b35-b451-0584a750426d,04a3d127-5b7d-4301-a7af-e976adba4662,8feb121f-10a7-4804-8f9b-89b8ea352245,2026-01-26 11:37:18.658981+00,invite,verified,,,
cb1fc19c-903c-4fb5-92d8-d89b9830d489,63ca82b2-6e37-46d0-ab0a-abde2aa84721,526cf3cf-fa5c-4535-92e0-2dd99461473a,2026-01-26 12:13:23.959988+00,invite,verified,,,
ed2c950e-cade-47a2-9a5f-7d084286ec45,04a3d127-5b7d-4301-a7af-e976adba4662,601471de-ee87-443c-9943-060684f56d97,2026-01-26 12:58:51.552731+00,invite,verified,,,
f80cf2e9-2e51-4698-a215-873c18cee775,04a3d127-5b7d-4301-a7af-e976adba4662,69aa4f55-7328-4ad0-94d2-cf71f2bbb7cb,2026-01-26 15:26:18.154803+00,invite,verified,,,
2167ef42-2fb8-4ccc-8235-07c33cbeddb1,04a3d127-5b7d-4301-a7af-e976adba4662,486d1bb0-26c0-4b26-b2f4-ffca6ae82100,2026-01-26 16:10:25.40548+00,invite,verified,,,
33f321c4-9606-474d-b170-46a08981429f,1bb8f684-e894-4445-afa5-e0eb984afbe7,7e745ff6-1d0f-4b43-89ca-778fb2d4c02d,2026-01-26 17:30:49.613034+00,invite,verified,,,
7a773318-5ea4-4688-af54-84ffd84c6214,c879db7c-cfe9-4af7-8511-11e45314297c,67796cfa-2029-4bce-b203-24ead1d3e18b,2026-01-26 18:43:40.27748+00,invite,verified,,,
42d29325-7a79-4f71-9452-731b7bcf4611,c879db7c-cfe9-4af7-8511-11e45314297c,a01fad43-c2fe-4443-a0e0-320cfaefa079,2026-01-26 19:21:25.493403+00,invite,verified,,,
08895fe5-caf0-41fe-8db3-9e5c7ffce922,c879db7c-cfe9-4af7-8511-11e45314297c,3cb7d061-86e8-4e33-a7fc-e917c76b57da,2026-01-26 19:57:19.982512+00,invite,verified,,,
6eb70667-a1ac-4916-820d-55e5eb50967b,c879db7c-cfe9-4af7-8511-11e45314297c,5dda9ef7-f292-4a22-8d59-32da44ac9742,2026-01-26 20:10:56.802043+00,invite,verified,,,
568e93b0-a6fa-4865-8ee8-cb6a24e8dd01,c879db7c-cfe9-4af7-8511-11e45314297c,c6c3b1f3-e8d7-4b9c-9cbd-75b10e335068,2026-01-26 20:18:05.858707+00,invite,verified,,,
d9cd0dc2-d585-4815-a110-e787ab432206,04a3d127-5b7d-4301-a7af-e976adba4662,b443ce59-6d19-4ef2-97e5-cbfe8123c2e6,2026-01-27 06:33:49.516495+00,invite,verified,,,
79b8e055-09e8-4800-bbf6-26df888b82c5,04a3d127-5b7d-4301-a7af-e976adba4662,4d2e2f4b-4e99-41b3-bbf5-836479e5ffcc,2026-01-27 07:32:54.170457+00,invite,verified,,,
75b8381f-b153-4b4d-91e1-3307ad0e828b,0989f43a-6ff3-465f-a11a-c13cc1f6f1ab,624bb420-3ab0-45f9-90b1-1d883e816ea0,2026-01-27 10:27:59.537215+00,invite,verified,,,
7560b796-1678-4d7e-a389-aef605e5e678,0989f43a-6ff3-465f-a11a-c13cc1f6f1ab,ca957543-2198-4ae2-a4d9-6a9817c01c68,2026-01-27 10:51:56.926714+00,invite,verified,,,
93bb258e-44b0-42de-a131-10961126e652,0989f43a-6ff3-465f-a11a-c13cc1f6f1ab,1b302626-ca36-4f39-89cd-ef9f92c48f28,2026-01-27 11:15:49.965157+00,invite,verified,,,
223e4762-336e-48ec-b0b3-81108c07c047,b06de749-e88d-4b31-a0d7-776c61d1ea0e,1a2d1d24-4fc4-4acb-89ff-dcf00d054194,2026-01-27 11:28:03.967902+00,invite,verified,,,
f02e9c8e-942f-404f-892a-87dee58fe145,c879db7c-cfe9-4af7-8511-11e45314297c,7375c4db-74ce-46c8-8c52-4523e06d5161,2026-01-27 12:12:17.510064+00,invite,verified,,,
066a57ca-777b-4921-94d8-8e060804c0cd,675d70c6-2f67-492a-ac29-0b11d57b52ca,f3ecda49-7f0e-42ba-b369-6d8682334735,2026-01-27 14:58:10.858314+00,invite,verified,,,
b83c8de7-7867-4e3b-ac86-7bfec9d43678,675d70c6-2f67-492a-ac29-0b11d57b52ca,c5ddcafc-fc27-475c-aa96-ded9eb8ecdb0,2026-01-27 15:04:08.387487+00,invite,verified,,,
398e0c2c-cd53-413c-b6cd-79bada9a06a5,675d70c6-2f67-492a-ac29-0b11d57b52ca,bd0af822-4a84-4327-b2b0-6af82f8688d8,2026-01-27 15:08:38.255163+00,invite,verified,,,
5bf7b0ea-0aa5-4f36-b2ae-f6774e35eba3,675d70c6-2f67-492a-ac29-0b11d57b52ca,08e3b2a3-faa3-4696-80a1-33e16220d3b8,2026-01-27 15:49:54.964458+00,invite,verified,,,
13fa3b72-bf72-43c7-af7b-1c930daf4a12,99890a2e-b842-4d44-8516-e2eafe0711ff,30eb9d8b-65c4-4643-a383-6f85bff672f0,2026-01-27 15:52:14.66289+00,invite,verified,,,
6e714fa2-cb4b-419d-a0ec-7cca6edb4d9e,675d70c6-2f67-492a-ac29-0b11d57b52ca,44c565ce-8c5e-4625-a46a-558f0fdaeddc,2026-01-27 16:31:21.574837+00,invite,verified,,,
9664258c-1d57-44ed-8f0a-3e0696c825a0,675d70c6-2f67-492a-ac29-0b11d57b52ca,112b4be2-c82a-42be-8517-b4a47266959c,2026-01-27 17:08:23.613112+00,invite,verified,,,
7e486c5f-800d-471d-9dc2-8198abecfc5d,675d70c6-2f67-492a-ac29-0b11d57b52ca,76999a23-e195-4c78-8d61-250bbdb97e3c,2026-01-27 17:26:26.54174+00,invite,verified,,,
3304ee92-7daf-40b3-8ef8-28f559c1fb9a,99890a2e-b842-4d44-8516-e2eafe0711ff,7be200ea-bc9d-4da3-a4a1-c2db5966e241,2026-01-27 17:40:29.807595+00,invite,verified,,,
8023a675-4c43-4c8d-a300-830ebd007a3c,7375c4db-74ce-46c8-8c52-4523e06d5161,5c05bfb9-a486-4db2-ab8f-b45a25e145c8,2026-01-27 17:42:45.252203+00,invite,verified,,,
ceecdf48-8545-4837-b78f-05d3bacddc39,112b4be2-c82a-42be-8517-b4a47266959c,7f5e6ea6-ba4f-452f-8429-56472bf16780,2026-01-27 18:38:25.34899+00,invite,verified,,,
9ed96f98-fc10-45ec-a95c-168a68f9d820,112b4be2-c82a-42be-8517-b4a47266959c,d8dcb5a0-9a64-4f79-838a-9ebf209b3901,2026-01-27 20:16:18.605717+00,invite,verified,,,
f055a0be-ea41-4a3a-806b-5cd93b83bc1c,112b4be2-c82a-42be-8517-b4a47266959c,0565ecf7-e686-4ff4-ad9b-624a6bb4fd19,2026-01-27 20:29:34.192814+00,invite,verified,,,
a80a28f4-075d-45af-908f-4676d8441848,99890a2e-b842-4d44-8516-e2eafe0711ff,40ac4688-f27c-429a-897f-89e024071394,2026-01-27 21:01:41.962035+00,invite,verified,,,
