id,agent_id,assigned_by,expense_category,label,is_active,notes,created_at,updated_at
82995f6e-8ae8-40aa-9bca-84333224c15c,7e201db3-d770-44f1-87db-f236febb5678,cf561688-b3a2-4f62-b9c1-67ee7b36ff2b,operations,⚙️ Operations Agent,t,,2026-03-23 10:08:14.846976+00,2026-03-23 10:08:14.846976+00
1fe65a9e-6087-4ea2-a6f0-26d8549a4220,d27d0b1f-7e80-445b-9715-6d69f65239c3,0b109aad-212a-4fd0-ab03-3d7aee9cf397,general,📋 General Agent,f,,2026-04-03 08:25:06.120472+00,2026-04-03 08:25:06.120472+00
4161db3d-7d0c-4e4d-b8ab-5a0e6d3cc4f2,b6c0bc4e-e01a-4d91-99e7-d8cc87095f00,cb798acb-68bc-4b4e-a414-a3d374e030b6,operations,CHEF,t,,2026-04-07 07:53:32.9272+00,2026-04-07 07:53:32.9272+00
7cc67c34-dcf5-4841-a568-d70314036711,cb798acb-68bc-4b4e-a414-a3d374e030b6,cb798acb-68bc-4b4e-a414-a3d374e030b6,general,📋 General Agent,f,,2026-04-07 08:13:21.689847+00,2026-04-07 08:13:21.689847+00
