id,target_user_id,deducted_by,amount,category,reason,ledger_entry_id,created_at
a7c7fd87-7581-4808-a9aa-047be88b74da,f5a84af1-249f-436f-87d3-bc78a6ffb4d1,f5a84af1-249f-436f-87d3-bc78a6ffb4d1,1050000,general_adjustment,Money was paid out to user,fd85f4de-9ba7-4c13-bc26-cc6d493eefab,2026-04-02 07:21:52.941582+00
eb7b5e81-9d67-4a8d-9ea6-8958757c845c,0f27c113-3e22-474c-99e5-7ccfe66859b7,0f27c113-3e22-474c-99e5-7ccfe66859b7,1000000,general_adjustment,Money was paid out to user,a482083a-91b7-4c15-9e9a-8f0ad1d0dc96,2026-04-02 07:21:52.941582+00
a4e12129-ddf6-4cf6-8c51-3903d1613cb2,6aac6c81-b0f8-45eb-a67b-6483e7dcf82f,6aac6c81-b0f8-45eb-a67b-6483e7dcf82f,900000,general_adjustment,Money was paid out to user,722df9b6-a7b3-4bc0-b41f-450dba7931b2,2026-04-02 07:21:52.941582+00
3e6dec0e-3f19-4fa0-8c26-add332aee476,7400fbae-3aab-4869-9cf3-5c21b57f8e75,7400fbae-3aab-4869-9cf3-5c21b57f8e75,750000,general_adjustment,Money was paid out to user,f32746a9-b5c1-4e73-aa40-fc247232ac31,2026-04-02 07:21:52.941582+00
92aa177f-739b-4a85-b426-d884b81aca20,98e8c977-51a8-4e89-829c-c8066de6bff7,98e8c977-51a8-4e89-829c-c8066de6bff7,600000,general_adjustment,Money was paid out to user,77bb8300-8c63-4c5f-b422-ff6f51d99ffa,2026-04-02 07:21:52.941582+00
ed9067fb-2a75-4d52-a917-f2655152e82a,0325350b-2fc1-4bf3-9429-94bf205bd627,0325350b-2fc1-4bf3-9429-94bf205bd627,450000,general_adjustment,Money was paid out to user,85311f34-99d9-4ad3-a5d2-a341f1249ebc,2026-04-02 07:21:52.941582+00
0a6b8498-7fb4-446b-b3b8-65908d3ac78a,afb57ae6-316e-4446-aca1-460c2291d9e6,afb57ae6-316e-4446-aca1-460c2291d9e6,320000,general_adjustment,Money was paid out to user,cd4ab44c-cd19-44e3-b176-80d82233db75,2026-04-02 07:21:52.941582+00
f00c0529-675e-4d36-8bde-313e372ac8a4,5fcaad3e-8963-442b-bf9c-cc3917d5f7b8,5fcaad3e-8963-442b-bf9c-cc3917d5f7b8,105000,general_adjustment,Money was paid out to user,50e1a869-eab9-4f08-b788-7bb5e94f29b7,2026-04-02 07:21:52.941582+00
2c5aebf3-1bd8-44bc-979b-6ce31b2dbb7a,5d0e4a88-4374-4d71-8f3d-ddf0f6726a28,5d0e4a88-4374-4d71-8f3d-ddf0f6726a28,75000,general_adjustment,Money was paid out to user,279873c0-ff4d-4754-8f3c-272dabef2647,2026-04-02 07:21:52.941582+00
65a522d8-f779-4fdd-9cb4-c10b1b6f169d,89787456-e4ec-4166-82eb-7b367e4ec353,89787456-e4ec-4166-82eb-7b367e4ec353,75000,general_adjustment,Money was paid out to user,949bac8a-4b9d-4668-af2b-972a8a52d204,2026-04-02 07:28:56.273422+00
e8040c8d-dc5e-492b-8c7a-a09b857c6297,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,cb798acb-68bc-4b4e-a414-a3d374e030b6,50000000,general_adjustment,TEST MONEY,0a04b59d-597b-4ca5-841e-ee5f4981ead8,2026-04-03 10:19:03.67488+00
2a903bed-f3fd-40bf-97ba-9f6b4c4cd9d1,6155034a-a46b-4e16-93ce-a1d4aec2af34,cb798acb-68bc-4b4e-a414-a3d374e030b6,450000,general_adjustment,PAID OUT RETURN ON INVESTMENT,9e49aaf9-beb3-47dc-abc9-baf4a25980fd,2026-04-03 10:20:18.455793+00
f94168d3-0a4c-47c6-91dc-30bc19f1f0ba,064a241b-05fc-4c1f-9148-0f7f953316a3,cb798acb-68bc-4b4e-a414-a3d374e030b6,450000,general_adjustment,PAID OUT RETURN ON INVESTEMENT,e77c6d0d-d38a-4497-8258-c8a113ecc0c4,2026-04-03 10:20:53.019475+00
42e8c489-267b-41e2-86f5-481e397145b5,e4f07815-7991-422f-946f-7f351b38e954,cb798acb-68bc-4b4e-a414-a3d374e030b6,270000,general_adjustment,TEST ACCOUNT MONEY,f8785b83-fc7e-43c7-b55e-a3a760e75b2d,2026-04-03 10:21:24.648812+00
931e7ccc-07ce-4491-9c78-1cc0e216927e,c983f2b9-a407-4611-b710-3a2577a991eb,cb798acb-68bc-4b4e-a414-a3d374e030b6,10000,general_adjustment,PAID RETURN ON INVESTMENT,ae284a06-b228-4600-a268-ab4f31177ba8,2026-04-03 10:22:18.080468+00
c0919498-9abf-47a2-93ea-861c9d9fb072,107bdfc7-b8ee-4988-8fde-c6193677fcfe,cb798acb-68bc-4b4e-a414-a3d374e030b6,15000,general_adjustment,PAID OT RETURN ON INVESTMENT,fa16f2ff-02e0-4e4c-be8c-494dd4066623,2026-04-03 10:23:07.725497+00
9cdb31df-6be1-46af-b4f7-4c34235b6984,5a5324fe-72bd-4d60-9835-05bf96a4dfae,cb798acb-68bc-4b4e-a414-a3d374e030b6,50000,general_adjustment,test account,e3cc8eaf-a586-4ce7-9a3c-c46c4197f6e4,2026-04-03 10:26:33.912265+00
dc19f840-0190-432b-addf-b7f91bf9cd54,9a20da54-829f-435d-b717-ca59a5e22658,cb798acb-68bc-4b4e-a414-a3d374e030b6,15000000,cash_payout_retraction,ROI PAID OUT,a45f8a35-83fb-4d80-8d5a-2da38fb6ccb0,2026-04-07 08:03:02.166494+00
cc00d348-c532-4a58-a014-42ef454c5fae,3d60fe16-de0d-4c10-a92d-4917605e789e,cb798acb-68bc-4b4e-a414-a3d374e030b6,1064000,cash_payout_retraction,already paid out,bb107610-ff0a-4692-98e7-590eeb2fafcd,2026-04-07 14:11:32.945899+00
e1d9dc94-e119-44c5-b12d-c74a5f856935,1b4e9d66-85a4-4c59-bbbe-eb6a089942c9,cb798acb-68bc-4b4e-a414-a3d374e030b6,50000000,cash_payout_retraction,CASH PAYOUT,b6530662-c393-4376-a3ad-4bbbbbb56810,2026-04-09 06:48:01.303429+00
8f2ce534-38ba-4a29-851a-0b8373fab312,de3bce2b-7014-469b-b181-871fe1f1b766,cb798acb-68bc-4b4e-a414-a3d374e030b6,330000,cash_payout_retraction,CASH PAYOUT,ad790174-dee2-423b-9262-c0d2943f6b85,2026-04-09 08:45:14.863924+00
b20d06de-5be4-4346-8564-7bccddb51f7d,b0efbbe6-197d-477c-b8a0-cff02b951724,cb798acb-68bc-4b4e-a414-a3d374e030b6,200000,cash_payout_retraction,CASH PAYOUT,1b8ab544-c100-4969-be7a-67715d5b9d27,2026-04-09 09:03:14.082793+00
ab651b6e-b56b-4231-912f-cf12dad63350,ec5c4236-92d4-4b80-bf15-593f439bc882,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,400000,general_adjustment,Deduct from wallet,b157f57b-5131-4086-ac48-79ca47dd413b,2026-04-13 09:33:43.325934+00
eaa10fc3-c5ac-4105-9409-c04aa7017bba,7e506ac9-6c46-4fdf-b888-c972bad7350f,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,18992830,general_adjustment,Deduct from wallet,c37ce088-3953-47bf-a673-07a57b2452ce,2026-04-13 09:34:47.961441+00
ed1ecabf-3cab-47c3-8af0-280675994ed4,0c0b9843-b5e8-4960-9785-d8cd0cbcde23,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,1918000,general_adjustment,Deduct from wallet,34423cc2-e251-409c-937e-c5ba46ea8089,2026-04-13 09:35:09.576815+00
2e450ac4-8186-4c6e-aec0-7979059191b2,0b109aad-212a-4fd0-ab03-3d7aee9cf397,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,4403000,general_adjustment,"Deds
Uct from wallet",08929afa-683a-44d5-b823-57a0a4c7a3af,2026-04-13 09:37:31.395846+00
e1469aca-8e9b-45f7-93b1-c6d419478f19,299ff13b-f2a7-4e9d-9b1b-5915acbf23be,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,1004000,general_adjustment,Deduct from wallet,9520147e-f65e-4f94-9c65-5e201f995558,2026-04-13 09:41:31.573102+00
3c447e9b-3379-4d37-ad12-4ec66146dc03,85f547d1-d279-4ca0-852a-2e8d35b42fba,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,450000,general_adjustment,Deduct from wallet,300e2892-80e3-45b5-bd50-5221364c2413,2026-04-13 09:46:04.763244+00
4b5b8ac5-3fa1-470b-a89d-07657c436b57,e3cf4d3a-d021-49e4-b815-7e1938166eeb,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,1080933,general_adjustment,Deduct from wallet,f614bc6e-2688-4ca9-842a-d336f146e93c,2026-04-13 09:46:34.067172+00
832e3db6-d780-49f3-9cd8-a3b2fee7060d,b5d546a2-ccaf-467f-89e1-a18d9bb5643b,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,30000,general_adjustment,Deduct from wallet,e7f66740-e0c7-45bd-b0fd-c884463ca65d,2026-04-13 09:47:38.462093+00
85182b29-5bdd-498c-854e-29052a50178b,155ff63b-de64-4602-9de9-84c7d2f71f6b,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,300000,general_adjustment,Deduct from wallet,51956052-debd-4f17-be11-c7df2e7c490d,2026-04-13 09:48:18.65353+00
4f7a4738-b0a3-4184-9945-5ea92bdece0c,d06530e1-8458-4dd7-a455-5ad3e9c40e84,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,100000,general_adjustment,Deduct from wallet,51d6fe37-fb09-4e65-86c6-4da3bc3710d4,2026-04-13 09:48:47.019994+00
5e2aa932-88ea-4153-9507-27685fae706a,37671b98-e914-4fbf-9f59-c38844b391c4,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,191000,general_adjustment,Deduct from wallet,0f150ab4-3faf-40fd-8028-3f493b7150e9,2026-04-13 09:49:33.808698+00
389b5e46-5f21-4f6e-ad75-46319719c2d7,fbcebe2e-f3da-41d9-bf53-ab4dc1cc55fa,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,533000,general_adjustment,Deduct from wallet,fe07ffa2-cab1-42af-92e3-25353dcfe471,2026-04-13 09:50:45.56782+00
60cd60c6-bfd1-4097-a65d-342c7e344b78,24fbb61a-04d0-48e6-a496-e902b8e21919,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,500000,general_adjustment,deduct from wallrt,98040c28-31dc-49a5-92d2-9e139b54399a,2026-04-14 07:33:10.83258+00
8e531eb6-60c0-4eae-b56e-5ff6400203c3,2470c782-4248-40b2-a5b9-d7acc84b82b3,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,2600000,general_adjustment,deduct now,ffab8faf-276e-4210-b609-ed89495221d8,2026-04-14 07:33:33.54035+00
8998e3ba-b5aa-4972-9a3b-c1ec659f6e66,c23b362c-14d4-49a7-b727-4b66553aea3a,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,840000,general_adjustment,deduct from wallet,8755567d-3439-4be5-8ae0-e51d057bcd45,2026-04-14 07:42:56.858143+00
269f71a1-381d-4cf9-a51f-83b0d7bb5332,c23b362c-14d4-49a7-b727-4b66553aea3a,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,100000,general_adjustment,Deduct ts a test,a22c2cbe-4c6b-4345-897a-2910755e5c67,2026-04-14 10:28:27.287009+00
