id,user_id,agent_id,amount,deposit_type,created_at
88134ab8-8ede-4c3d-8946-2edeaa45a9d2,b3f97805-92ec-4d85-9e3c-af0dcccd35b3,99890a2e-b842-4d44-8516-e2eafe0711ff,14652,cash_deposit,2026-02-27 08:27:29.646787+00
2ba66f82-7e69-4944-b725-91fe546f025f,7c0bd264-49d4-4614-a617-0fe8ebf9d005,99890a2e-b842-4d44-8516-e2eafe0711ff,5000,cash_deposit,2026-02-27 08:49:25.325682+00
5c4f89f2-4b3d-42f8-9741-59746d19104d,3b293a8d-6046-429b-8295-0eb121e88577,99890a2e-b842-4d44-8516-e2eafe0711ff,13601,cash_deposit,2026-02-27 20:26:25.861707+00
d6183bd8-524b-42b0-ab0c-fdc7ce426ac7,611ce374-3ba0-4e95-9a85-e2014820882b,99890a2e-b842-4d44-8516-e2eafe0711ff,5000,cash_deposit,2026-02-28 15:46:28.504223+00
f0d233be-3249-4011-a374-13ff269ea247,972f4990-1c4e-4c96-a220-9c9463f58dbf,99890a2e-b842-4d44-8516-e2eafe0711ff,9500,cash_deposit,2026-02-28 17:21:24.533626+00
dc7825d2-c64f-4bbf-a0dc-6754e3121cd7,dbc12143-44ad-4546-9fc9-d35b696df3a4,99890a2e-b842-4d44-8516-e2eafe0711ff,9000,cash_deposit,2026-03-01 18:55:44.391803+00
881d9a1c-857c-489c-9435-5be4425baed3,dbc12143-44ad-4546-9fc9-d35b696df3a4,99890a2e-b842-4d44-8516-e2eafe0711ff,18000,cash_deposit,2026-03-02 09:22:04.130858+00
c29de959-2720-4256-b5ef-141b72cfcb6f,fbcebe2e-f3da-41d9-bf53-ab4dc1cc55fa,99890a2e-b842-4d44-8516-e2eafe0711ff,2000,cash_deposit,2026-03-02 09:23:29.791667+00
53e509de-cd46-45bc-aaa1-c19105e6df8f,7c0bd264-49d4-4614-a617-0fe8ebf9d005,99890a2e-b842-4d44-8516-e2eafe0711ff,5000,cash_deposit,2026-03-02 19:48:35.636946+00
2edd9421-f49f-435f-af4d-e65cc92c1608,fbcebe2e-f3da-41d9-bf53-ab4dc1cc55fa,99890a2e-b842-4d44-8516-e2eafe0711ff,18000,cash_deposit,2026-03-10 08:46:01.582167+00
75411a50-5896-4a9f-a3f0-4a8e82cd84b6,7f5c1d63-75c4-4b29-9f60-95f357f17f1e,99890a2e-b842-4d44-8516-e2eafe0711ff,55868,cash_deposit,2026-03-12 07:55:18.003766+00
eb6cd800-bcf9-466e-873f-a992f0e01344,533e1d60-bbbe-4aaf-8534-419e1e1e73aa,e3cf4d3a-d021-49e4-b815-7e1938166eeb,21000,cash_deposit,2026-03-23 16:50:36.472262+00
7a16fa14-91f1-401b-b5ed-3de4ebd7a6f4,b3f97805-92ec-4d85-9e3c-af0dcccd35b3,e610a33d-c1cc-46e0-9395-a8c01a9a98ab,14652,cash_deposit,2026-03-24 11:54:52.794405+00
5cc3bb39-2363-4e0a-91ec-e122ffc8113b,5c2616a1-770d-452a-805e-ef7a5cb6e29b,e3cf4d3a-d021-49e4-b815-7e1938166eeb,18000,cash_deposit,2026-03-24 13:11:44.019436+00
