id,rent_request_id,supporter_id,rent_amount,roi_amount,payment_number,due_date,paid_at,created_at,status
54525644-4253-4af4-90b0-b1d7e5e131b6,6be06a42-edfa-43f6-b642-f4a5ad5aa578,7e506ac9-6c46-4fdf-b888-c972bad7350f,450000,67500,1,2026-02-17 13:03:05.508+00,2026-02-23 06:53:47.969+00,2026-02-23 06:53:48.098902+00,paid
3e73b7d6-14d4-4430-8b1d-9602d29ce5c0,6be06a42-edfa-43f6-b642-f4a5ad5aa578,7e506ac9-6c46-4fdf-b888-c972bad7350f,450000,67500,2,2026-03-20 06:00:05.645+00,2026-03-20 06:00:05.645+00,2026-03-20 06:00:05.86188+00,paid
