id,rent_request_id,tenant_id,landlord_id,agent_id,amount,payout_method,transaction_reference,disbursed_by,disbursed_at,landlord_confirmed,landlord_confirmed_at,agent_confirmed,agent_confirmed_at,reconciliation_status,notes,created_at
f9df368d-85e7-4f92-8cde-6b7cc729f4cc,cd8ee3bc-10ee-49d7-a841-0498a8a0b7d7,533e1d60-bbbe-4aaf-8534-419e1e1e73aa,663fc5e4-fe95-4e7e-ac0a-e6013db49f7b,e3cf4d3a-d021-49e4-b815-7e1938166eeb,150000,wallet,143169638129,99890a2e-b842-4d44-8516-e2eafe0711ff,2026-03-23 13:12:34.108+00,f,,f,,pending,Paid,2026-03-23 13:12:34.255054+00
679b0136-e94c-4d58-ad26-4d1235e4f59b,4faa80b4-6d58-4aaf-9d44-2fd57af824c2,895dac42-d8bc-45e8-a217-fd53661d9aa8,c35349f0-edf7-479c-a763-3f1b1132078e,fbcebe2e-f3da-41d9-bf53-ab4dc1cc55fa,200000,wallet,143177241379,e4f07815-7991-422f-946f-7f351b38e954,2026-03-23 14:03:58.134+00,f,,f,,pending,Rent payment,2026-03-23 14:03:58.342473+00
623c6f65-6793-454c-ba8c-d92a3b915b53,6c01de75-7f25-4750-b98f-9b277226d08e,bc5c8ec0-2ff7-4d7d-9d8b-7dd1270f8b72,a29847be-d964-4a1e-94a6-7a9b0fd2b735,e3cf4d3a-d021-49e4-b815-7e1938166eeb,200000,wallet,143169578866,e4f07815-7991-422f-946f-7f351b38e954,2026-03-23 14:06:13.12+00,f,,f,,pending,Rent cleared ,2026-03-23 14:06:13.286824+00
ae8de52f-0497-4c3e-9f87-50c6dfa4972b,f3920202-d815-42de-9d28-581e04e2a986,c64f6ad4-18b3-4cbf-a77e-e079310623c9,3e08ccb2-ff3c-4840-9891-1b5a8ac9229a,e3cf4d3a-d021-49e4-b815-7e1938166eeb,200000,wallet,143169492594,e4f07815-7991-422f-946f-7f351b38e954,2026-03-23 14:07:42.425+00,f,,f,,pending,Rent cleared ,2026-03-23 14:07:42.532706+00
de92509c-2c36-42a8-91ea-df409a107051,6d8fc400-a68d-40d0-b669-c139e87f7cfa,5c2616a1-770d-452a-805e-ef7a5cb6e29b,ac5512aa-58c1-4abe-b33f-d3543674f921,e3cf4d3a-d021-49e4-b815-7e1938166eeb,200000,wallet,143169578866,e4f07815-7991-422f-946f-7f351b38e954,2026-03-23 14:08:35.963+00,f,,f,,pending,Rent payment cleared ,2026-03-23 14:08:36.131323+00
d9f5ade0-8309-4494-aa46-14fc5f9ed14d,0d2dd273-f747-4f56-82b5-7a1844e2d857,64c312f3-d719-416e-aa6a-492adfaca861,9854dec7-afa6-435a-8471-4871f5c18b01,99890a2e-b842-4d44-8516-e2eafe0711ff,100000,wallet,5663772726test,99890a2e-b842-4d44-8516-e2eafe0711ff,2026-03-24 08:08:36.593+00,f,,f,,pending,Paid in full tests,2026-03-24 08:08:36.71183+00
bc1bcd23-2b0a-439a-9119-e3fa2bf1c710,5d232f2b-3753-4166-a333-c151063c91a3,99890a2e-b842-4d44-8516-e2eafe0711ff,d6c70e68-a974-43cc-aa70-d531822557aa,e610a33d-c1cc-46e0-9395-a8c01a9a98ab,100000,wallet,988766554444test,99890a2e-b842-4d44-8516-e2eafe0711ff,2026-03-24 09:19:28.627+00,f,,f,,pending,Verified tests,2026-03-24 09:19:28.74639+00
aef962ed-6e9c-4371-ae02-357e2214f8cd,9000b837-cd28-4928-82e3-65cc0dd2abeb,64c312f3-d719-416e-aa6a-492adfaca861,29ebd8ea-3c2d-4573-9d72-ac638fd60b58,99890a2e-b842-4d44-8516-e2eafe0711ff,100000,wallet,567754432test,99890a2e-b842-4d44-8516-e2eafe0711ff,2026-03-24 09:19:48.272+00,f,,f,,pending,Checks out test,2026-03-24 09:19:48.385325+00
7b9cc4f6-01e7-4d35-87c1-0c0f8abf8292,f027a27a-3917-4078-84a3-b3bc09e56703,ac72e60f-e133-408e-b2e8-1b1129bf0c50,f32b71d9-e262-40e0-b8bb-e367f17eb002,99890a2e-b842-4d44-8516-e2eafe0711ff,100000,wallet,56777887test,99890a2e-b842-4d44-8516-e2eafe0711ff,2026-03-24 09:20:07.125+00,f,,f,,pending,Check out test,2026-03-24 09:20:07.250452+00
