id,agent_id,beneficiary_id,beneficiary_role,assigned_by,reason,is_active,expires_at,created_at,updated_at,is_managed_account,approval_status,approved_by,approved_at,rejection_reason
37a9a3aa-3d86-43b3-9a99-7310205048d6,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,7400fbae-3aab-4869-9cf3-5c21b57f8e75,supporter,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,No smartphone access,t,,2026-04-08 08:40:57.178003+00,2026-04-08 08:40:57.178003+00,t,approved,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,2026-04-08 08:45:17.254+00,
6c457ab2-5777-4bf3-91e0-7615cf1daae5,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,0742bf17-6b63-402e-a2a5-3548260e5a06,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-09 05:52:11.052452+00,2026-04-09 05:52:11.052452+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-09 06:09:49.985+00,
8f6bcff5-315d-4d08-ad19-c3ea62ef74c2,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,92278039-4954-4c0f-98fb-8f4c475fcf98,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-09 05:53:24.495838+00,2026-04-09 05:53:24.495838+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-09 06:09:54.69+00,
426ca5cb-b9f4-4ecd-b071-7d34cc823e59,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,314e1497-5bd3-40d9-bd6b-536dbef66d34,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-09 05:53:57.812054+00,2026-04-09 05:53:57.812054+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-09 06:09:59.434+00,
e7a5ac5a-94ce-4539-930f-864fa8465892,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,6b7d9eee-4bc8-47ac-a2e6-b84cbaac8bb4,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-09 05:54:54.967343+00,2026-04-09 05:54:54.967343+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-09 06:10:03.73+00,
ff994f6e-d092-4b9f-9ee3-5ee9a43943b3,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,1095d952-f661-4dec-a23c-a6c2170b6cb4,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-09 05:57:50.82362+00,2026-04-09 05:57:50.82362+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-09 06:10:08.567+00,
7c0be965-4169-4db3-9cf2-93b4345ba0e3,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,a1b0e6ce-a14f-4d9d-a98b-d6bad468fa09,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-09 06:00:55.879863+00,2026-04-09 06:00:55.879863+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-09 06:10:12.45+00,
e4ad2fa1-4eb1-46bf-9825-6014e73100d0,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,24e66503-2b57-495e-bd6e-ecc301b7d966,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-09 06:04:43.883644+00,2026-04-09 06:04:43.883644+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-09 06:10:15.96+00,
fcf67055-005f-4c04-9add-2d650e7a0383,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,afe5371d-0765-4839-90fd-1db053e1ec2d,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-09 06:05:39.333413+00,2026-04-09 06:05:39.333413+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-09 06:10:20.331+00,
49fad463-480a-4ddb-a5a2-e336f44aa23b,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,69e7fc52-0931-4696-91e0-2954d0245eb7,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-09 06:06:37.428165+00,2026-04-09 06:06:37.428165+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-09 06:10:24.358+00,
