id,user_id,latitude,longitude,accuracy,address,city,country,captured_at,verified,verified_by,verified_at,verification_notes,created_at
0684cae2-d945-44fb-a9c5-eae33291b35a,ab1b190e-4fb5-499c-96c7-edae09bac030,0.2102767,32.5698311,,,,,2026-03-09 15:48:19.260223+00,f,,,,2026-03-09 15:48:19.260223+00
a1c237d6-9ffa-473f-aa6e-50cd10be4d11,75cd0f60-5cce-4052-9d68-48641cf01918,0.104307,32.4867312,,,,,2026-03-10 10:51:04.155909+00,f,,,,2026-03-10 10:51:04.155909+00
0e0e9899-27e4-49b2-a3e3-1e1a888ff022,16d52ad2-92e0-4348-af46-17612afa4d49,0.1042652,32.4867002,,,,,2026-03-10 10:51:26.316525+00,f,,,,2026-03-10 10:51:26.316525+00
f754089d-ce71-479f-8d1f-3c7a3d08365b,56c1aa64-f999-43e6-bca0-0248009157f2,2.7890451,32.3234116,,,,,2026-03-10 18:19:48.929192+00,f,,,,2026-03-10 18:19:48.929192+00
c4a0f4b5-fd3f-4123-9c9c-c37adaa73ff1,70f3245a-8779-4c96-97b5-db4d408a7cfd,0.8975817,30.1845033,,,,,2026-03-10 19:05:34.956696+00,f,,,,2026-03-10 19:05:34.956696+00
c1de77b5-9791-4e8b-87bb-9faef8cc2ee3,e3cf4d3a-d021-49e4-b815-7e1938166eeb,0.1042925,32.4867278,,,,,2026-03-11 10:06:15.524187+00,f,,,,2026-03-11 10:06:15.524187+00
c99e9ec2-1643-44c8-996c-5b3e66108943,8c7949ea-bf16-431e-8b59-103235fd8b96,0.1042769,32.4867056,,,,,2026-03-11 13:40:31.749783+00,f,,,,2026-03-11 13:40:31.749783+00
55618a81-4806-48c9-9594-26cb07d27528,2e21a7da-efc4-452c-bfe6-726d533349a8,0.1042957,32.4867398,,,,,2026-03-16 15:29:39.918344+00,f,,,,2026-03-16 15:29:39.918344+00
d3811683-7637-4e31-bb22-b9717114396c,97fd80dd-9ae1-4203-8cf0-31b8f0ce17ae,0.3163767,32.7688817,,,,,2026-03-23 18:41:06.801979+00,f,,,,2026-03-23 18:41:06.801979+00
c56e44ad-8d22-4462-a365-93bb88a9b18d,f6fe1c27-7a98-4b88-874c-2e55d3937c82,1.0871663,34.1686053,,,,,2026-03-24 12:26:25.172492+00,f,,,,2026-03-24 12:26:25.172492+00
e9b91088-c5fc-438a-8b81-6bf5a5b5d652,7e1fc523-1444-4580-bf62-6a3c8bda01dd,0.3692756,32.7133727,,,,,2026-04-02 21:07:15.670497+00,f,,,,2026-04-02 21:07:15.670497+00
ffc33b55-36fe-4a4e-bcbd-e24b40068bf6,c6d56fbb-b2de-4156-a2ea-452cda992770,1.6378993,33.8002141,,,,,2026-04-04 08:43:35.139379+00,f,,,,2026-04-04 08:43:35.139379+00
913cc443-6394-4c67-916a-14a6dfa9b0fa,3e9d41f9-e6b6-493b-b33b-89a524a20c23,1.1542796,34.2169189,,,,,2026-04-10 05:39:07.466546+00,f,,,,2026-04-10 05:39:07.466546+00
8a0f910c-c64a-489c-bc62-7c609f32ec8d,01149d2b-319e-4492-b307-55951ed3fe3b,1.15636326659637,34.2187872923291,,,,,2026-04-10 08:50:23.379777+00,f,,,,2026-04-10 08:50:23.379777+00
ebc60dea-6435-4c27-b356-8baf8df6a93e,377ef374-6734-4482-951d-9ef3c286471b,0.1150722,32.5279043,,,,,2026-04-10 13:13:15.59201+00,f,,,,2026-04-10 13:13:15.59201+00
